[WARN] 2023-02-15 18:40:51.802577+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\src\__pycache__
[WARN] 2023-02-15 18:40:51.802577+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\src\__pycache__\bot.cpython-310.pyc
[WARN] 2023-02-15 18:40:51.802577+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\start.py
[WARN] 2023-02-15 18:40:51.802577+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\utils
[WARN] 2023-02-15 18:40:51.803713+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\utils\embeds.py
[WARN] 2023-02-15 18:40:51.803713+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\utils\emojis.py
[WARN] 2023-02-15 18:40:51.803713+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\utils\utils.py
[WARN] 2023-02-15 18:40:51.803713+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\utils\__init__.py
[WARN] 2023-02-15 18:40:51.803713+00:00 | Added directory C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\utils\__pycache__
[WARN] 2023-02-15 18:40:51.804828+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\utils\__pycache__\embeds.cpython-310.pyc
[WARN] 2023-02-15 18:40:51.804828+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\utils\__pycache__\emojis.cpython-310.pyc
[WARN] 2023-02-15 18:40:51.804828+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\utils\__pycache__\utils.cpython-310.pyc
[WARN] 2023-02-15 18:40:51.805922+00:00 | Cached file C:\Users\Luke\Large Projects\Discord\MEE6 Slander Rewrite\utils\__pycache__\__init__.cpython-310.pyc
[WARN] 2023-02-21 11:16:42.921392+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:16:45.950051+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:16:48.179289+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:16:50.187049+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:16:52.174688+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:16:54.229129+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:16:56.263822+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:16:58.241743+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:17:00.210259+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:17:02.234270+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:17:04.385108+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:17:06.390062+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:17:08.438169+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:17:10.375724+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:17:12.319278+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:17:14.426985+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:17:16.412964+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
[WARN] 2023-02-21 11:17:18.449155+00:00 | Cached file /home/luke/MEE6 Slander Rewrite\.git
